name,url
3proxy/3proxy,https://github.com/3proxy/3proxy
AFLplusplus/AFLplusplus,https://github.com/AFLplusplus/AFLplusplus
ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os
AdAway/AdAway,https://github.com/AdAway/AdAway
Airblader/i3,https://github.com/Airblader/i3
AlexAltea/orbital,https://github.com/AlexAltea/orbital
AppImage/AppImageKit,https://github.com/AppImage/AppImageKit
CTCaer/hekate,https://github.com/CTCaer/hekate
CameraKit/camerakit-android,https://github.com/CameraKit/camerakit-android
Chikage0o0/Linux-NetSpeed,https://github.com/Chikage0o0/Linux-NetSpeed
ClemensElflein/OpenMower,https://github.com/ClemensElflein/OpenMower
CloverHackyColor/CloverBootloader,https://github.com/CloverHackyColor/CloverBootloader
Cyan4973/xxHash,https://github.com/Cyan4973/xxHash
Dav1dde/glad,https://github.com/Dav1dde/glad
DaveGamble/cJSON,https://github.com/DaveGamble/cJSON
DhavalKapil/icmptunnel,https://github.com/DhavalKapil/icmptunnel
DoctorWkt/acwj,https://github.com/DoctorWkt/acwj
DualCoder/vgpu_unlock,https://github.com/DualCoder/vgpu_unlock
EZLippi/Tinyhttpd,https://github.com/EZLippi/Tinyhttpd
F-Stack/f-stack,https://github.com/F-Stack/f-stack
F5OEO/rpitx,https://github.com/F5OEO/rpitx
FASTSHIFT/X-TRACK,https://github.com/FASTSHIFT/X-TRACK
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg
FeralInteractive/gamemode,https://github.com/FeralInteractive/gamemode
Foundry376/Mailspring,https://github.com/Foundry376/Mailspring
FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP
FreeRTOS/FreeRTOS,https://github.com/FreeRTOS/FreeRTOS
GNOME/gimp,https://github.com/GNOME/gimp
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy
HandBrake/HandBrake,https://github.com/HandBrake/HandBrake
IAIK/meltdown,https://github.com/IAIK/meltdown
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick
Immediate-Mode-UI/Nuklear,https://github.com/Immediate-Mode-UI/Nuklear
JoeDog/siege,https://github.com/JoeDog/siege
Kitware/CMake,https://github.com/Kitware/CMake
Klipper3d/klipper,https://github.com/Klipper3d/klipper
LiteOS/LiteOS,https://github.com/LiteOS/LiteOS
LongSoft/UEFITool,https://github.com/LongSoft/UEFITool
LuaJIT/LuaJIT,https://github.com/LuaJIT/LuaJIT
LumaTeam/Luma3DS,https://github.com/LumaTeam/Luma3DS
Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls
Meituan-Dianping/Logan,https://github.com/Meituan-Dianping/Logan
Meituan-Dianping/SQLAdvisor,https://github.com/Meituan-Dianping/SQLAdvisor
Motion-Project/motion,https://github.com/Motion-Project/motion
MrGlockenspiel/activate-linux,https://github.com/MrGlockenspiel/activate-linux
Mzzopublic/C,https://github.com/Mzzopublic/C
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules
Netflix/dynomite,https://github.com/Netflix/dynomite
OISF/suricata,https://github.com/OISF/suricata
OpenAtomFoundation/TencentOS-tiny,https://github.com/OpenAtomFoundation/TencentOS-tiny
OpenIntelWireless/itlwm,https://github.com/OpenIntelWireless/itlwm
OpenKinect/libfreenect,https://github.com/OpenKinect/libfreenect
OpenVPN/openvpn,https://github.com/OpenVPN/openvpn
P-H-C/phc-winner-argon2,https://github.com/P-H-C/phc-winner-argon2
Provenance-Emu/Provenance,https://github.com/Provenance-Emu/Provenance
Qihoo360/Atlas,https://github.com/Qihoo360/Atlas
RIOT-OS/RIOT,https://github.com/RIOT-OS/RIOT
RPISEC/MBE,https://github.com/RPISEC/MBE
RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread
Ralim/IronOS,https://github.com/Ralim/IronOS
RandyGaul/cute_headers,https://github.com/RandyGaul/cute_headers
RediSearch/RediSearch,https://github.com/RediSearch/RediSearch
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System
SanderMertens/flecs,https://github.com/SanderMertens/flecs
SecWiki/linux-kernel-exploits,https://github.com/SecWiki/linux-kernel-exploits
SecWiki/windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits
SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN
SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther
Syllo/nvtop,https://github.com/Syllo/nvtop
TelegramMessenger/MTProxy,https://github.com/TelegramMessenger/MTProxy
TelegramMessenger/Telegram-iOS,https://github.com/TelegramMessenger/Telegram-iOS
