name,remoteURL
2227324689/gpmall,https://github.com/2227324689/gpmall
2dxgujun/AndroidTagGroup,https://github.com/2dxgujun/AndroidTagGroup
500px/500px-android-blur,https://github.com/500px/500px-android-blur
527515025/springBoot,https://github.com/527515025/springBoot
AAkira/ExpandableLayout,https://github.com/AAkira/ExpandableLayout
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary
AdoptOpenJDK/jitwatch,https://github.com/AdoptOpenJDK/jitwatch
Aliucord/Aliucord,https://github.com/Aliucord/Aliucord
AnderWeb/discreteSeekBar,https://github.com/AnderWeb/discreteSeekBar
Antabot/White-Jotter,https://github.com/Antabot/White-Jotter
AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod
AnyChart/AnyChart-Android,https://github.com/AnyChart/AnyChart-Android
AnyListen/tools-ocr,https://github.com/AnyListen/tools-ocr
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper
AsamK/signal-cli,https://github.com/AsamK/signal-cli
Aspsine/SwipeToLoadLayout,https://github.com/Aspsine/SwipeToLoadLayout
Azoft/CarouselLayoutManager,https://github.com/Azoft/CarouselLayoutManager
BaronZ88/MinimalistWeather,https://github.com/BaronZ88/MinimalistWeather
BruceEckel/OnJava8-Examples,https://github.com/BruceEckel/OnJava8-Examples
Bukkit/Bukkit,https://github.com/Bukkit/Bukkit
CJT2325/CameraView,https://github.com/CJT2325/CameraView
CarpenterLee/JavaLambdaInternals,https://github.com/CarpenterLee/JavaLambdaInternals
CatVodTVOfficial/TVBoxOSC,https://github.com/CatVodTVOfficial/TVBoxOSC
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains
Cleveroad/AdaptiveTableLayout,https://github.com/Cleveroad/AdaptiveTableLayout
CoderLeixiaoshuai/java-eight-part,https://github.com/CoderLeixiaoshuai/java-eight-part
Comcast/FreeFlow,https://github.com/Comcast/FreeFlow
DSAppTeam/PanelSwitchHelper,https://github.com/DSAppTeam/PanelSwitchHelper
DTStack/flinkStreamSQL,https://github.com/DTStack/flinkStreamSQL
Devlight/NavigationTabBar,https://github.com/Devlight/NavigationTabBar
DingMouRen/LayoutManagerGroup,https://github.com/DingMouRen/LayoutManagerGroup
DreamOfTheRedChamber/system-design-interviews,https://github.com/DreamOfTheRedChamber/system-design-interviews
EhsanTang/ApiManager,https://github.com/EhsanTang/ApiManager
EngineHub/WorldEdit,https://github.com/EngineHub/WorldEdit
Exrick/xpay,https://github.com/Exrick/xpay
FreddyChen/NettyChat,https://github.com/FreddyChen/NettyChat
Freelander/Android_Data,https://github.com/Freelander/Android_Data
GcsSloop/rclayout,https://github.com/GcsSloop/rclayout
Genymobile/gnirehtet,https://github.com/Genymobile/gnirehtet
GeyserMC/Geyser,https://github.com/GeyserMC/Geyser
GlowstoneMC/Glowstone,https://github.com/GlowstoneMC/Glowstone
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server
Haleydu/Cimoc,https://github.com/Haleydu/Cimoc
HdrHistogram/HdrHistogram,https://github.com/HdrHistogram/HdrHistogram
HeZaiJin/SlantedTextView,https://github.com/HeZaiJin/SlantedTextView
HotBitmapGG/bilibili-android-client,https://github.com/HotBitmapGG/bilibili-android-client
HpWens/MeiWidgetView,https://github.com/HpWens/MeiWidgetView
HuanTanSheng/EasyPhotos,https://github.com/HuanTanSheng/EasyPhotos
ICT-BDA/EasyML,https://github.com/ICT-BDA/EasyML
ImmortalZ/StereoView,https://github.com/ImmortalZ/StereoView
JabRef/jabref,https://github.com/JabRef/jabref
Jacksgong/JKeyboardPanelSwitch,https://github.com/Jacksgong/JKeyboardPanelSwitch
JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids
JakeWharton/Telecine,https://github.com/JakeWharton/Telecine
JakeWharton/scalpel,https://github.com/JakeWharton/scalpel
Javen205/IJPay,https://github.com/Javen205/IJPay
JesusFreke/smali,https://github.com/JesusFreke/smali
JoyChou93/java-sec-code,https://github.com/JoyChou93/java-sec-code
Jzvd/JZVideo,https://github.com/Jzvd/JZVideo
Kaopiz/android-segmented-control,https://github.com/Kaopiz/android-segmented-control
KeepSafe/TapTargetView,https://github.com/KeepSafe/TapTargetView
KikiLetGo/VirusBroadcast,https://github.com/KikiLetGo/VirusBroadcast
Krupen/FabulousFilter,https://github.com/Krupen/FabulousFilter
Kyson/AndroidGodEye,https://github.com/Kyson/AndroidGodEye
LWJGL/lwjgl3,https://github.com/LWJGL/lwjgl3
